iter	Accuracy	Logloss
0	0.7345100051	0.6746233226
1	0.7367675731	0.6581803358
2	0.7374653669	0.6434008028
3	0.7470292458	0.6300077671
4	0.748055413	0.6173487811
5	0.7484043099	0.6067620068
6	0.7530631093	0.5964360263
7	0.7527963058	0.5881941555
8	0.755956901	0.5796238254
9	0.7567162648	0.5724193076
10	0.7585223191	0.5662132805
11	0.7596921498	0.560628807
12	0.7602257568	0.5554457689
13	0.7615392509	0.5506084766
14	0.7620112878	0.5465736744
15	0.7616008209	0.5427083956
16	0.7622165213	0.5387790336
17	0.7620112878	0.5353884209
18	0.7631605952	0.5327191192
19	0.7632221652	0.5299012719
20	0.7629348384	0.5274690379
21	0.7634068753	0.5246592902
22	0.7635710621	0.5224399371
23	0.7633042586	0.5202670943
24	0.7640841457	0.5177705977
25	0.7645561827	0.5161414474
26	0.7648640328	0.5144687878
27	0.7658491534	0.5130275793
28	0.7658696768	0.5112606449
29	0.7661570036	0.5101583927
30	0.7663417137	0.5088689405
31	0.7665469472	0.5076573889
32	0.7665059005	0.506333606
33	0.7673268343	0.5051497595
34	0.7675731144	0.5039434883
35	0.7680451514	0.5028621778
36	0.7682503848	0.5018985855
37	0.7688455618	0.5009974604
38	0.7687429451	0.5001732141
39	0.7689687019	0.4992422532
40	0.7691739354	0.4983896874
41	0.7692970754	0.4975127628
42	0.769153412	0.4966585161
43	0.7695844023	0.4956307687
44	0.7695433556	0.4949655265
45	0.7698512057	0.4941848626
46	0.7701795793	0.4935775141
47	0.7704669061	0.4930455177
48	0.770877373	0.4922225723
49	0.77134941	0.4916662925
50	0.7714930734	0.4909872569
51	0.7716162134	0.4902300005
52	0.772067727	0.4896424121
53	0.7719035403	0.4891067438
54	0.7723345305	0.488567245
55	0.7726834274	0.4881040862
56	0.7726629041	0.4874070181
57	0.7729707542	0.4868876441
58	0.7728476142	0.4865422499
59	0.7732580811	0.4861152912
60	0.7734222678	0.4856896386
61	0.7735864546	0.4853177329
62	0.773668548	0.4848477453
63	0.7738327347	0.4842479109
64	0.7739763982	0.4837657393
65	0.7743047717	0.4833697765
66	0.7744484351	0.4829536636
67	0.7746536685	0.4825391912
68	0.7747562853	0.4821317021
69	0.7750025654	0.4817481955
70	0.7751667522	0.4814818046
71	0.7753514623	0.4810874949
72	0.775454079	0.4807209867
73	0.7753719856	0.4803303546
74	0.7756387891	0.4799794177
75	0.7759055926	0.4797146439
76	0.7760903027	0.4793602309
77	0.7764391996	0.4791190568
78	0.7766239097	0.4787969942
79	0.7767880965	0.4784928523
80	0.7765623397	0.4781478924
81	0.7767470498	0.4779354918
82	0.7767470498	0.4776472754
83	0.77717804	0.4772605843
84	0.7770138533	0.4770834085
85	0.7773011801	0.4767496855
86	0.7770548999	0.4764840128
87	0.7770343766	0.4762177641
88	0.7774037968	0.4758758724
89	0.7772806567	0.475584112
90	0.7775885069	0.4753417524
91	0.7775885069	0.475118114
92	0.7777321703	0.4749188485
93	0.777711647	0.4745208582
94	0.7777937404	0.4742413149
95	0.777773217	0.4740454202
96	0.7776090303	0.473597487
97	0.7775679836	0.4734630079
98	0.7780194972	0.4732694957
99	0.7779784505	0.4729643205
100	0.7782247306	0.4727652264
101	0.7782042073	0.4725671777
102	0.7781631606	0.4722327986
103	0.7782863007	0.4719602005
104	0.778245254	0.4717720721
105	0.7785325808	0.4715766173
106	0.7785941508	0.4713626484
107	0.7786557209	0.4711422189
108	0.7788199076	0.4709125382
109	0.7785941508	0.4707241987
110	0.7785941508	0.4705703317
111	0.7789430477	0.470390116
112	0.7790046178	0.4702199145
113	0.7792508979	0.4699556866
114	0.7792714212	0.469807565
115	0.7790046178	0.4696550256
116	0.7792508979	0.4695476786
117	0.7793329913	0.4693711349
118	0.7797024115	0.4691962369
119	0.7797229348	0.4690343395
120	0.7797434582	0.4688743329
121	0.7797024115	0.468564415
122	0.7798871216	0.468373107
123	0.7798050282	0.4682035244
124	0.7799897383	0.4680525967
125	0.7800513084	0.4678458549
126	0.7801744484	0.4676354133
127	0.7800923551	0.4674904835
128	0.7808106721	0.4672907327
129	0.7805233453	0.4671224909
130	0.7805233453	0.4669323199
131	0.7804412519	0.466768646
132	0.7804617753	0.4666677354
133	0.7805438687	0.4665489523
134	0.7808311955	0.4664110758
135	0.7808927655	0.4662964669
136	0.7807285788	0.4661146086
137	0.7807080554	0.465972588
138	0.7805849153	0.4657414916
139	0.7806464854	0.4655775162
140	0.7806670087	0.465435742
141	0.7810569523	0.4652907526
142	0.781159569	0.4651684261
143	0.7810569523	0.4650196046
144	0.7811390457	0.4648996449
145	0.7811390457	0.4647920493
146	0.7811390457	0.4646724238
147	0.7813032324	0.4645357614
148	0.7813853258	0.4644238239
149	0.7814674192	0.4642771247
150	0.7815905593	0.4641443312
151	0.7814058492	0.4640079944
152	0.7814058492	0.463825616
153	0.7815289892	0.4637118889
154	0.7818163161	0.4635845797
155	0.7819805028	0.4634974003
156	0.781631606	0.4634036103
157	0.7821241662	0.4632182982
158	0.7821241662	0.4630541695
159	0.7824730631	0.4629182938
160	0.7825551565	0.4628057926
161	0.7826167265	0.462719615
162	0.7825551565	0.4625879967
163	0.78282196	0.4624499028
164	0.7829245767	0.4623161948
165	0.7828014366	0.462185058
166	0.78288353	0.462160487
167	0.7829040534	0.462060918
168	0.7829861467	0.4619436589
169	0.7829656234	0.4618167538
