iter	Passed	Remaining
0	41	20639
1	83	20831
2	124	20683
3	164	20444
4	204	20274
5	244	20158
6	284	20004
7	325	20040
8	368	20125
9	407	19987
10	447	19881
11	484	19718
12	528	19789
13	566	19672
14	608	19672
15	649	19637
16	690	19625
17	731	19580
18	770	19499
19	813	19517
20	851	19414
21	888	19314
22	926	19207
23	966	19159
24	1003	19075
25	1043	19032
26	1084	18992
27	1125	18970
28	1168	18975
29	1216	19051
30	1258	19044
31	1306	19111
32	1348	19083
33	1390	19053
34	1433	19050
35	1473	18993
36	1511	18910
37	1553	18881
38	1598	18890
39	1636	18822
40	1677	18784
41	1718	18740
42	1761	18719
43	1798	18637
44	1838	18591
45	1881	18568
46	1923	18537
47	1963	18486
48	2004	18452
49	2043	18390
50	2083	18340
51	2121	18279
52	2160	18217
53	2198	18159
54	2240	18124
55	2279	18074
56	2318	18020
57	2357	17964
58	2398	17926
59	2438	17885
60	2480	17848
61	2518	17794
62	2557	17741
63	2601	17720
64	2644	17697
65	2684	17650
66	2726	17620
67	2767	17581
68	2806	17531
69	2846	17485
70	2884	17428
71	2923	17379
72	2961	17325
73	3002	17282
74	3044	17254
75	3087	17223
76	3126	17176
77	3167	17138
78	3206	17088
79	3245	17036
80	3282	16979
81	3325	16953
82	3365	16907
83	3404	16859
84	3447	16834
85	3491	16805
86	3535	16781
87	3581	16767
88	3624	16740
89	3667	16709
90	3705	16655
91	3747	16617
92	3788	16579
93	3830	16542
94	3871	16503
95	3915	16476
96	3956	16437
97	4000	16411
98	4039	16360
99	4081	16324
100	4122	16284
101	4159	16232
102	4200	16190
103	4242	16152
104	4280	16102
105	4322	16066
106	4360	16015
107	4396	15957
108	4438	15920
109	4481	15889
110	4524	15857
111	4566	15818
112	4608	15783
113	4669	15811
114	4708	15764
115	4749	15722
116	4793	15692
117	4836	15656
118	4877	15617
119	4914	15563
120	4956	15524
121	4999	15491
122	5037	15441
123	5079	15401
124	5123	15369
125	5164	15329
126	5205	15288
127	5245	15244
128	5284	15197
129	5321	15147
130	5370	15128
131	5412	15089
132	5451	15042
133	5487	14987
134	5522	14932
135	5563	14890
136	5604	14850
137	5641	14799
138	5679	14750
139	5716	14698
140	5755	14654
141	5794	14608
142	5833	14562
143	5877	14530
144	5916	14484
145	5956	14442
