iter	Passed	Remaining
0	109	54469
1	150	37580
2	191	31716
3	232	28772
4	272	27022
5	313	25826
6	352	24838
7	392	24115
8	430	23502
9	467	22883
10	505	22471
11	542	22054
12	586	21972
13	625	21724
14	665	21504
15	705	21333
16	746	21217
17	789	21128
18	828	20967
19	869	20857
20	907	20697
21	944	20526
22	981	20360
23	1019	20226
24	1059	20123
25	1098	20027
26	1137	19927
27	1172	19765
28	1213	19704
29	1255	19674
30	1295	19599
31	1336	19540
32	1372	19424
33	1410	19337
34	1452	19302
35	1492	19231
36	1530	19150
37	1571	19102
38	1616	19103
39	1653	19012
40	1694	18970
41	1736	18933
42	1782	18948
43	1823	18899
44	1867	18881
45	1910	18855
46	1952	18819
47	1996	18796
48	2040	18776
49	2080	18728
50	2122	18690
51	2165	18653
52	2205	18601
53	2245	18549
54	2288	18518
55	2329	18470
56	2372	18442
57	2412	18386
58	2455	18351
59	2498	18319
60	2541	18287
61	2581	18237
62	2619	18173
63	2688	18313
64	2733	18292
65	2775	18249
66	2819	18220
67	2863	18192
68	2905	18148
69	2946	18101
70	2984	18030
71	3024	17980
72	3062	17915
73	3103	17868
74	3147	17835
75	3186	17777
76	3228	17733
77	3269	17691
78	3311	17648
79	3349	17582
80	3385	17511
81	3428	17477
82	3469	17433
83	3509	17381
84	3554	17355
85	3602	17341
86	3652	17338
87	3700	17327
88	3743	17286
89	3794	17285
90	3832	17224
91	3873	17177
92	3914	17131
93	3956	17087
94	3997	17043
95	4044	17022
96	4087	16983
97	4134	16958
98	4174	16908
99	4216	16867
100	4260	16832
101	4302	16787
102	4344	16744
103	4385	16697
104	4424	16642
105	4464	16594
106	4504	16544
107	4543	16490
108	4587	16455
109	4631	16421
110	4675	16386
111	4717	16344
112	4761	16306
113	4803	16265
114	4844	16218
115	4883	16164
116	4929	16136
117	4979	16120
118	5022	16080
119	5060	16025
120	5103	15984
121	5147	15949
122	5186	15898
123	5229	15856
124	5273	15821
125	5314	15774
126	5356	15732
127	5397	15687
128	5439	15643
129	5475	15584
130	5524	15560
131	5567	15521
132	5607	15473
133	5643	15413
134	5681	15361
135	5723	15319
136	5766	15279
137	5804	15225
138	5841	15170
139	5876	15111
140	5917	15066
141	5962	15031
142	6049	15101
143	6105	15093
144	6146	15049
145	6187	15002
146	6229	14960
147	6274	14924
148	6316	14878
149	6358	14835
150	6400	14793
151	6439	14742
152	6479	14695
153	6522	14655
154	6566	14616
155	6606	14567
156	6648	14524
157	6689	14480
158	6731	14436
159	6776	14399
160	6820	14361
161	6865	14324
162	6906	14279
163	6943	14226
164	6986	14183
165	7030	14146
166	7050	14058
167	7094	14019
168	7134	13973
169	7171	13921
170	7210	13872
171	7249	13824
172	7292	13784
173	7332	13737
174	7373	13694
175	7416	13652
176	7458	13609
177	7500	13568
178	7540	13521
179	7587	13488
180	7651	13484
181	7697	13448
182	7716	13366
183	7757	13322
184	7798	13278
185	7837	13231
186	7876	13184
187	7922	13147
188	7964	13105
189	8009	13067
190	8050	13023
191	8097	12989
192	8140	12948
193	8178	12899
194	8240	12889
195	8287	12853
196	8331	12814
197	8369	12765
198	8409	12720
199	8448	12672
200	8491	12632
201	8536	12592
202	8579	12552
203	8622	12510
204	8664	12467
205	8703	12421
206	8743	12375
207	8787	12336
208	8831	12296
209	8868	12247
210	8908	12201
211	8950	12159
212	8992	12116
213	9033	12072
214	9075	12030
215	9115	11984
216	9153	11937
217	9195	11894
218	9234	11848
219	9274	11804
220	9317	11762
221	9354	11713
222	9397	11672
223	9437	11628
224	9483	11591
225	9530	11554
226	9574	11514
227	9614	11469
228	9656	11427
229	9692	11378
230	9730	11331
231	9771	11288
232	9816	11248
233	9855	11203
234	9899	11162
235	9938	11117
236	9980	11075
237	10022	11033
238	10065	10992
239	10105	10948
240	10148	10906
241	10189	10862
242	10230	10819
243	10267	10772
244	10313	10734
245	10354	10690
246	10393	10645
247	10434	10603
248	10479	10563
249	10526	10526
250	10573	10488
251	10616	10447
252	10658	10405
253	10703	10366
254	10747	10326
255	10787	10281
256	10826	10237
257	10865	10191
258	10907	10149
259	10951	10109
260	10992	10066
261	11034	10024
262	11079	9984
263	11121	9941
264	11160	9896
265	11204	9856
266	11249	9816
267	11291	9774
268	11330	9729
269	11371	9687
270	11410	9642
271	11452	9599
272	11495	9558
273	11535	9515
274	11579	9473
275	11620	9430
276	11666	9392
277	11704	9346
278	11740	9299
279	11782	9258
280	11826	9216
281	11865	9172
282	11912	9134
283	11955	9092
284	11997	9050
285	12042	9010
286	12082	8966
287	12120	8922
288	12158	8877
289	12194	8830
290	12236	8788
291	12276	8744
292	12314	8700
293	12355	8657
294	12396	8614
295	12438	8572
296	12483	8532
297	12523	8489
298	12570	8450
299	12615	8410
300	12661	8371
301	12704	8329
302	12746	8287
303	12787	8244
304	12830	8203
305	12873	8161
306	12919	8121
307	12964	8081
308	13010	8041
309	13054	8001
310	13095	7958
311	13137	7916
312	13179	7874
313	13221	7831
314	13261	7788
315	13304	7746
316	13343	7703
317	13383	7659
318	13425	7617
319	13470	7576
320	13512	7535
321	13553	7492
322	13597	7451
323	13642	7410
324	13682	7367
325	13722	7324
326	13768	7284
327	13811	7242
328	13855	7201
329	13897	7159
330	13940	7117
331	13984	7076
332	14023	7032
333	14067	6991
334	14110	6949
335	14157	6910
336	14202	6869
337	14246	6828
338	14291	6787
339	14328	6743
340	14371	6701
341	14413	6658
342	14453	6615
343	14497	6574
344	14540	6532
345	14583	6490
346	14624	6448
347	14665	6405
348	14708	6363
349	14751	6321
350	14793	6279
351	14836	6237
352	14876	6195
353	14915	6151
354	14960	6110
355	15001	6067
356	15047	6027
357	15102	5990
358	15149	5950
359	15205	5913
360	15274	5881
361	15384	5864
362	15432	5824
363	15477	5782
364	15520	5740
365	15563	5698
366	15611	5657
367	15657	5616
368	15700	5573
369	15744	5531
370	15788	5489
371	15828	5446
372	15871	5403
373	15915	5362
374	15961	5320
375	15999	5276
376	16040	5233
377	16080	5189
378	16119	5146
379	16162	5104
380	16206	5061
381	16249	5019
382	16297	4978
383	16348	4938
384	16395	4897
385	16443	4856
386	16488	4814
387	16535	4773
388	16594	4735
