ResponseId,split
1,train
2,train
3,train
4,train
5,train
6,test
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,test
19,test
20,train
21,train
22,train
23,train
24,test
25,train
26,test
27,train
28,train
29,train
30,test
31,train
32,train
33,test
34,test
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,test
53,train
54,train
55,test
56,test
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,test
71,train
72,train
73,test
74,train
75,train
76,train
77,train
78,train
79,train
80,train
81,test
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,test
98,train
99,train
100,train
101,train
102,train
103,train
104,test
105,train
106,train
107,train
108,train
109,test
110,train
111,test
112,train
113,test
114,train
115,test
116,train
117,train
118,train
119,train
120,train
121,train
122,test
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,train
131,test
132,train
133,train
134,train
135,train
136,test
137,train
138,train
139,train
140,train
141,test
142,test
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,test
151,train
152,train
153,train
154,train
155,train
156,train
157,train
158,test
159,train
160,test
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,train
170,test
171,train
172,train
173,test
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,test
183,test
184,train
185,test
186,train
187,train
188,train
189,train
190,test
191,train
192,train
193,train
194,train
195,test
196,train
197,train
198,train
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,test
212,train
213,train
214,train
215,train
216,train
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,test
231,train
232,train
233,train
234,train
235,train
236,train
237,test
238,train
239,train
240,test
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,test
251,train
252,train
253,train
254,test
255,train
256,train
257,train
258,train
259,test
260,test
261,test
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,train
270,train
271,test
272,train
273,train
274,train
